Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Alcoa Intalco Works - Ferndale,2021,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,9411,0,1188,8222,1,0,0,0,0,Curtailed mid 2020.,1,"(48.8455, -122.7055)","(48.8455, -122.7055)",48.8455,-122.7055,POINT (-122.7055 48.8455),2744,1,44
Avista Corporation - supplier,2021,Supplier,Natural Gas Supplier,4911,,,Spokane,Spokane,Spokane Regional Clean Air Agency,1085641,0,1084521,511,609,0,0,0,0,Currently Undergoing Verification.,4,,,,,,,,
Frito Lay - Vancouver,2021,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,14349,0,14335,7,8,0,0,0,0,,1,"(45.657037, -122.692)","(45.657037, -122.692)",45.657037,-122.692,POINT (-122.692 45.657037),2977,3,8
Georgia-Pacific Consumer Operations LLC - Camas,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,559482,386972,164003,7198,1310,0,0,0,0,,3,"(45.584271, -122.40843)","(45.584271, -122.40843)",45.584271,-122.40843,POINT (-122.40843 45.584271),2977,3,25
"Interfor US, Inc. - Port Angeles",2017,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,40810,40272,0,77,461,0,0,0,0,,2,"(48.103425, -123.518642)","(48.103425, -123.518642)",48.103425,-123.518642,POINT (-123.518642 48.103425),2976,6,30
Northwest Hardwoods Inc. - Mount Vernon,2016,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Mount Vernon,Skagit,Northwest Clean Air Agency,10017,6055,3878,13,71,0,0,0,0,,1,"(48.451642, -122.443028)","(48.451642, -122.443028)",48.451642,-122.443028,POINT (-122.443028 48.451642),3212,2,16
Ascensus Specialties LLC - Elma,2014,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,21231,0,21209,10,12,0,0,0,0,,1,"(46.995459, -123.382316)","(46.995459, -123.382316)",46.995459,-123.382316,POINT (-123.382316 46.995459),2983,6,30
"Solvay Chemicals, Inc. - Longview",2015,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,47827,0,47827,0,0,0,0,0,0,,2,"(46.137218, -122.982847)","(46.137218, -122.982847)",46.137218,-122.982847,POINT (-122.982847 46.137218),2978,3,26
Packaging Corporation of America - Wallula,2021,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,775593,568917,191332,14498,847,0,0,0,0,,3,"(46.10396, -118.9184)","(46.10396, -118.9184)",46.10396,-118.9184,POINT (-118.9184 46.10396),2743,4,23
"WestRock CP, LLC - Tacoma",2020,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1108691,965097,137925,1051,4618,0,0,0,0,,4,"(47.260953, -122.421765)","(47.260953, -122.421765)",47.260953,-122.421765,POINT (-122.421765 47.260953),3210,9,11
