,GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20,Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,year,Plant Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Name,Reported Fuel Type Code,AER Fuel Type Code,Physical Unit Label,Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours)
0,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,0,0,0,0,0
1,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,0,0,0,0,0
2,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,DFO,DFO,barrels,13282,13282,79692,79692,7294.378
3,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,SUB,COL,short tons,2502192,2502192,40559028,40559028,3728435.6
4,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,0,0,0,0,0
5,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,0,0,0,0,0
6,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,DFO,DFO,barrels,13282,13282,79692,79692,7294.378
7,1007310,Centralia,CENTRALIA,WA,3845,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1007310,1.1E+11,Centralia,CENTRALIA,WA,98531,913 BIG HANAFORD RD,Lewis,46.7559,-122.8578,221112,"C,D",Power Plants,4154743.13,4121859.6,12028,20855.53,,,,,,,,,,1010.784,4153732.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,SUB,COL,short tons,2502192,2502192,40559028,40559028,3728435.6
8,1000144,Chehalis Generation Facility,CHEHALIS,WA,55662,,,,,Yes,D,D,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1000144,1.10056E+11,Chehalis Generation Facility,CHEHALIS,WA,98532,1813 BISHOP ROAD,Lewis,46.6226,-122.9145,221112,"C,D",Power Plants,371645.972,371268.4,172.25,205.322,,,,,,,,,,1011.396,370634.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,55662,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,0,0,0,0,223357
9,1000144,Chehalis Generation Facility,CHEHALIS,WA,55662,,,,,Yes,D,D,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",1000144,1.10056E+11,Chehalis Generation Facility,CHEHALIS,WA,98532,1813 BISHOP ROAD,Lewis,46.6226,-122.9145,221112,"C,D",Power Plants,371645.972,371268.4,172.25,205.322,,,,,,,,,,1011.396,370634.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012,55662,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,6442046,6442046,6646159,6646159,626006
