,Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,year
98,1004236,110007030186.0,AGRIUM US INC - KFO,KENNEWICK,WA,99337,227515 E BOWLES ROAD,BENTON,46.165957,-119.017218,325311,"C,U,V",Chemicals,146925.596,7758.5,0.5,139166.596,,,,,,,,,,1150.896,,,,,,,,,,,,,,,,6608.7,139166.0,,,,,,,,,,,,,,,,,,,,N,N,N,2012
142,1003562,110040947820.0,ALCOA INTALCO WORKS,FERNDALE,WA,98248,4050 MOUNTAIN VIEW RD.,WHATCOM COUNTY,48.8455,-122.7055,331312,"C,F,TT","Metals,Waste",1146835.2,412832.0,11814.0,29.8,,722159.4,,,,,,,,61398.8,,,1073652.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11784.0,N,N,N,2012
143,1000635,110000491156.0,ALCOA WENATCHEE LLC,MALAGA,WA,98828,6200 MALAGA HIGHWAY,CHELAN COUNTY,47.3567,-120.1273,331312,"C,F",Metals,306332.636,269093.0,14.25,16.986,,37208.4,,,,,,,,30491.236,,,275841.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
200,1004746,110000490763.0,ANALOG DEVICES,CAMAS,WA,98607,4200 NW PACIFIC RIM BLVD,CLARK COUNTY,45.598844,-122.45232,334413,"C,I",Other,18086.123,1786.6,0.75,1390.766,643.8,12954.207,1285.92,24.08,,,,,,1788.244,,,,,,16297.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
316,1002537,110000897085.0,ASH GROVE CEMENT COMPANY-SEATTLE,SEATTLE,WA,98134,3801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.56799,-122.34255,327310,H,Minerals,305297.85,304825.0,227.0,245.85,,,,,,,,,,,,,,,305297.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
377,1007253,110043973055.0,Air Liquide Hydrogen Plant,Anacortes,WA,98221,8581 South Texas Road,SKAGIT COUNTY,48.467675,-122.554403,325120,P,Chemicals,63355.8,63355.8,,,,,,,,,,,,,,,,,,,,,,,63355.8,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
502,1000024,110000489659.0,Ardagh Glass Inc. (Seattle),SEATTLE,WA,98134,5801 EAST MARGINAL WAY SOUTH,KING COUNTY,47.551767,-122.337152,327213,"C,N",Minerals,76257.032,76197.3,27.25,32.482,,,,,,,,,,57619.832,,,,,,,,,18637.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
658,1002893,110005312713.0,BOISE PAPER,WALLULA,WA,99363,31831 WEST HIGHWAY 12,WALLA WALLA COUNTY,46.10396,-118.9184,322121,"AA,C,PP,TT","Pulp and Paper,Suppliers of CO2,Waste",133978.0,107227.0,14533.0,12218.0,,,,,,,,,791371.0,67631.81,,,,,,,,,,,,,,,,,,,,,,,,,,,58238.44,,,,,,,,,8107.75,N,Y,N,2012
670,1006468,110000490157.0,BP CHERRY POINT REFINERY,BLAINE,WA,98230,4519 GRANDVIEW ROAD,WHATCOM COUNTY,48.8864,-122.7353,324110,"C,MM-REF,P,PP,Y","Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2223517.91,2203240.5,15570.5,4706.91,,,,,,,,,,1084809.8,,,,,,,,,,,488028.0,,,,,,,,,,,,,,650680.11,,,,,,,,,,,,N,Y,N,2012
762,1010722,110000491165.0,Basic American Foods,Moses Lake,WA,98837,538 Potato Frontage Road,GRANT COUNTY,47.075778,-119.222474,311423,C,Other,28205.444,28176.4,13.25,15.794,,,,,,,,,,28205.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
