,Plant Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Name,Reported Fuel Type Code,AER Fuel Type Code,Physical Unit Label,Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),year
94,99,Frederickson,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,707,707,4128,4128,242.229,2012
95,99,Frederickson,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,555428,555428,573203,573203,33633.771,2012
350,371,Columbia Generating Station,Energy Northwest,20160,WA,PACC,WECC,22,Electric Utility,NUC,NUC,,0,0,97804137,97804137,9333709.0,2012
557,550,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,9906,9906,10086,10086,860.0,2012
558,550,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,3616,3616,3686,3686,226.892,2012
559,550,Kettle Falls Generating Station,Avista Corp,20169,WA,PACC,WECC,22,Electric Utility,WDS,WWW,short tons,362086,362086,3077734,3077734,208942.11,2012
626,607,Fredonia,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,DFO,DFO,barrels,7244,7244,42516,42516,3662.715,2012
627,607,Fredonia,Puget Sound Energy Inc,15500,WA,PACC,WECC,22,Electric Utility,NG,NG,mcf,459637,459637,475426,475426,41322.285,2012
659,622,South Fork Tolt,City of Seattle - (WA),16868,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,599423,599423,62991.0,2012
958,917,Quincy Chute,PUD No 2 of Grant County,14624,WA,PACC,WECC,22,Electric Utility,WAT,HYC,,0,0,316607,316607,33271.0,2012
3417,3845,Transalta Centralia Generation,TransAlta Centralia Gen LLC,19099,WA,PACC,WECC,22,NAICS-22 Non-Cogen,NG,NG,mcf,0,0,0,0,0.0,2012
